h_tract,jobs_2011,jobs_2023,change,pct_change
48029121804,0.0,7.0,7.0,
48323950204,3.0,10.0,7.0,233.33333333333334
48265960304,0.0,7.0,7.0,
48259970302,4.0,11.0,7.0,175.0
48281950400,0.0,7.0,7.0,
48303000304,0.0,7.0,7.0,
48027020102,0.0,6.0,6.0,
48027022401,0.0,6.0,6.0,
48027022002,0.0,6.0,6.0,
48209010809,0.0,6.0,6.0,
48209010703,0.0,6.0,6.0,
48029181724,0.0,6.0,6.0,
48029181722,0.0,6.0,6.0,
48491020608,0.0,6.0,6.0,
48451001000,0.0,6.0,6.0,
48381021604,0.0,6.0,6.0,
48441011300,0.0,6.0,6.0,
48441010700,0.0,6.0,6.0,
48027023500,0.0,6.0,6.0,
48381021300,0.0,6.0,6.0,
48381021602,0.0,6.0,6.0,
48491021406,0.0,6.0,6.0,
48189950500,0.0,6.0,6.0,
48189950400,0.0,6.0,6.0,
48201240906,0.0,6.0,6.0,
48303010417,2.0,8.0,6.0,300.0
48303010602,0.0,6.0,6.0,
48453000802,0.0,6.0,6.0,
48303010513,0.0,6.0,6.0,
48479001725,0.0,6.0,6.0,
48303010502,0.0,6.0,6.0,
48303010415,2.0,8.0,6.0,300.0
48303010410,0.0,6.0,6.0,
48303010700,0.0,6.0,6.0,
48029141700,0.0,6.0,6.0,
48491020207,0.0,6.0,6.0,
48027020203,0.0,6.0,6.0,
48053960600,0.0,6.0,6.0,
48375011800,0.0,6.0,6.0,
48083950700,0.0,6.0,6.0,
48385950100,1.0,7.0,6.0,600.0
48141001900,899.0,905.0,6.0,0.6674082313681869
48491020406,0.0,6.0,6.0,
48485012301,0.0,6.0,6.0,
48135002300,5.0,11.0,6.0,120.0
48479001502,0.0,6.0,6.0,
48303001715,0.0,6.0,6.0,
48303001714,3.0,9.0,6.0,200.0
48303001906,0.0,6.0,6.0,
48453034900,0.0,6.0,6.0,
48445950100,0.0,6.0,6.0,
48485010400,0.0,6.0,6.0,
48029121803,0.0,6.0,6.0,
48169950102,0.0,6.0,6.0,
48303002207,0.0,6.0,6.0,
48303000403,0.0,6.0,6.0,
48453002107,0.0,6.0,6.0,
48303002402,0.0,6.0,6.0,
48341950202,0.0,6.0,6.0,
48341950302,0.0,6.0,6.0,
48337950501,0.0,6.0,6.0,
48337950402,0.0,6.0,6.0,
48189950700,0.0,6.0,6.0,
48303010421,0.0,6.0,6.0,
48453001920,0.0,6.0,6.0,
48029131615,0.0,6.0,6.0,
48135002701,4.0,10.0,6.0,150.0
48099010503,0.0,6.0,6.0,
48281950302,0.0,6.0,6.0,
48329001400,10.0,16.0,6.0,60.0
48029171922,0.0,6.0,6.0,
